function_key,function_label,level_key,level_label,salary,employee_true_cost,ai_tco,annual_savings,savings_pct,npv_5yr,payback_months,token_cost,hosting,security,process_failure,residual_human_oversight,hidden_cost_total,hidden_cost_pct
pm,Product Manager,entry,Entry,114000,207840,169160,38680,18.61046560755869,75178,8.210136194162112,4170,39800,53500,22067,41568,116964,72.60090433257722
finance,Financial Analyst,entry,Entry,90000,164400,171108,-6708,-4.080372471867421,-41121,,4563,39800,53500,32217,32880,127468,78.2200555055259
hr,HR Generalist,entry,Entry,63000,115530,139531,-24001,-20.774663338256307,-84932,,3793,39800,53500,12688,23106,107243,80.70248963086163
ops,Operations Analyst,entry,Entry,72000,131820,157698,-25878,-19.63123696138675,-90020,,5008,39800,53500,25517,26364,121169,80.67817760148509
marketing,Marketing Manager,entry,Entry,64000,117340,143433,-26093,-22.23720964451595,-90352,,4385,39800,53500,15450,23468,110518,80.90483811350444
sales,Sales Representative,entry,Entry,75000,137250,146164,-8914,-6.494743852459024,-46387,,4804,39800,53500,13650,27450,109102,78.37559711780588
legal,Legal Counsel,entry,Entry,100000,182500,194542,-12042,-6.598367594178074,-55146,,5011,39800,53500,50467,36500,146118,78.86427386311459
cs,Customer Support Agent,entry,Entry,62000,113720,138979,-25259,-22.21152680377244,-88146,,4869,39800,53500,11448,22744,106957,80.80711569638588
it,IT Support Specialist,entry,Entry,82000,149920,161385,-11465,-7.64771398912754,-53157,,4716,39800,53500,25700,29984,121094,78.7859573751196
strategy,Strategy Consultant,entry,Entry,98000,178880,175282,3598,2.011641500674335,-14783,86.64236693224966,4371,39800,53500,33488,35776,128562,77.01326075323999
swe,Software Engineer,mid,Mid,136000,247660,198618,49042,19.80212359560486,101268,6.6378288596907735,4028,39800,53500,42300,49532,137063,72.45857523915531
ds,Data Scientist,mid,Mid,140000,254900,227321,27579,10.81942566325029,45843,11.856244497196545,4166,39800,53500,68050,50980,162939,75.26186466601811
pm,Product Manager,mid,Mid,136000,247660,177522,70138,28.320193700537015,155634,4.641320920187673,4170,39800,53500,22067,49532,116964,69.18103203554021
finance,Financial Analyst,mid,Mid,110000,200600,178710,21890,10.912197236415732,32020,14.441384706578702,4563,39800,53500,32217,40120,127468,74.89271835818815
hr,HR Generalist,mid,Mid,78000,142680,145232,-2552,-1.7889462816705295,-30076,,3793,39800,53500,12688,28536,107243,77.53429143655018
ops,Operations Analyst,mid,Mid,90000,164400,164540,-140,-0.08497357816303544,-24193,,5008,39800,53500,25517,32880,121169,77.32346158434346
marketing,Marketing Manager,mid,Mid,88000,160780,152556,8224,5.115349050332746,-2582,37.46824318262232,4385,39800,53500,15450,32156,110518,76.06695227524806
sales,Sales Representative,mid,Mid,98000,178880,154906,23974,13.402093058195439,37726,13.004937384089114,4804,39800,53500,13650,35776,109102,73.95238887047219
legal,Legal Counsel,mid,Mid,132000,240420,206705,33715,14.02328389511064,61880,9.612520332648163,5011,39800,53500,50467,48084,146118,74.22364634599722
cs,Customer Support Agent,mid,Mid,82000,149920,146581,3339,2.22722233107656,-15005,91.63799359015303,4869,39800,53500,11448,29984,106957,76.61628666487181
it,IT Support Specialist,mid,Mid,105000,191550,170128,21422,11.183632047768208,30955,14.672130204127303,4716,39800,53500,25700,38310,121094,74.7374087769399
strategy,Strategy Consultant,mid,Mid,122000,222320,184404,37916,17.054706871359418,72986,8.451940987424024,4371,39800,53500,33488,44464,128562,73.20344175508126
swe,Software Engineer,senior,Senior,166000,301960,210021,91939,30.447390149978474,210979,3.658863182158051,4028,39800,53500,42300,60392,137063,68.52446915148049
ds,Data Scientist,senior,Senior,176000,320060,241005,79055,24.70009248754139,177497,4.300948719533822,4166,39800,53500,68050,64012,162939,70.98870125821475
pm,Product Manager,senior,Senior,165000,300150,188545,111605,37.18303905338997,261688,3.010889530244004,4170,39800,53500,22067,60030,116964,65.13650600685624
finance,Financial Analyst,senior,Senior,135000,245850,188213,57637,23.44411944529183,123447,5.641652511601818,4563,39800,53500,32217,49170,127468,71.11152658940773
hr,HR Generalist,senior,Senior,112000,204220,158156,46064,22.556131351147044,94264,6.878323547165073,3793,39800,53500,12688,40844,107243,71.19872721684727
ops,Operations Analyst,senior,Senior,115000,209650,174042,35608,16.984404215358918,67233,8.928660835764317,5008,39800,53500,25517,41930,121169,73.10169118487966
marketing,Marketing Manager,senior,Senior,118000,215080,163959,51121,23.768578297900774,107130,6.240354074651552,4385,39800,53500,15450,43016,110518,70.7766426195959
sales,Sales Representative,senior,Senior,125000,227750,165169,62581,27.47792055433589,136466,5.138143919912548,4804,39800,53500,13650,45550,109102,69.35739213301963
legal,Legal Counsel,senior,Senior,162000,294720,218108,76612,25.994767623719124,171592,4.371964778225453,5011,39800,53500,50467,58944,146118,70.34313126981813
cs,Customer Support Agent,senior,Senior,110000,200600,157224,43376,21.623256091101688,87393,7.287858850730357,4869,39800,53500,11448,40120,106957,71.42997209960494
it,IT Support Specialist,senior,Senior,130000,236800,179630,57170,24.142629724451016,122381,5.656138358273197,4716,39800,53500,25700,47360,121094,70.78377504440724
strategy,Strategy Consultant,senior,Senior,155000,282050,196947,85103,30.172921225458694,193669,3.9059854155094005,4371,39800,53500,33488,56410,128562,68.54121564517726
swe,Software Engineer,manager,Manager,190000,345400,219143,126257,36.55371722549942,298749,2.733165362536918,4028,39800,53500,42300,69080,137063,65.6719650640585
ds,Data Scientist,manager,Manager,200000,363500,250127,113373,31.189192851616227,265267,3.0756959192187145,4166,39800,53500,68050,72700,162939,68.39967011358203
pm,Product Manager,manager,Manager,185000,336350,196147,140203,41.68363065816857,334830,2.448380313642938,4170,39800,53500,22067,67270,116964,62.612034843334854
finance,Financial Analyst,manager,Manager,165000,300150,199616,100534,33.494708531151076,233159,3.342439086591399,4563,39800,53500,32217,60030,127468,67.04929595056365
hr,HR Generalist,manager,Manager,122000,222320,161957,60363,27.15146250688759,130834,5.308935973448171,3793,39800,53500,12688,44464,107243,69.52774923013808
ops,Operations Analyst,manager,Manager,138000,251280,182784,68496,27.25863715277777,151345,4.763173984080553,5008,39800,53500,25517,50256,121169,69.60535026503008
marketing,Marketing Manager,manager,Manager,138000,251280,171561,79719,31.725349491851713,180271,4.09255164741211,4385,39800,53500,15450,50256,110518,67.64046671598281
sales,Sales Representative,manager,Manager,152000,276620,175432,101188,36.580241509109975,235207,3.2743322861567643,4804,39800,53500,13650,55324,109102,65.30000705135387
legal,Legal Counsel,manager,Manager,188000,341780,227991,113789,33.29310642536867,266675,3.026263152618683,5011,39800,53500,50467,68356,146118,67.29400400027824
cs,Customer Support Agent,manager,Manager,128000,233180,164066,69114,29.639956994060373,153220,4.668140916648153,4869,39800,53500,11448,46636,106957,68.45122617621765
it,IT Support Specialist,manager,Manager,158000,287480,190273,97207,33.8134643062126,224779,3.4307835977682553,4716,39800,53500,25700,57496,121094,66.82453042249551
strategy,Strategy Consultant,manager,Manager,182000,330920,207210,123710,37.383665029737166,292410,2.7660167548331818,4371,39800,53500,33488,66184,128562,65.14650488629049
swe,Software Engineer,sr_manager,Senior Manager,218000,396080,229786,166294,41.984886714016106,401146,2.136075606345303,4028,39800,53500,42300,79216,137063,62.630296743049705
ds,Data Scientist,sr_manager,Senior Manager,235000,426850,263431,163419,38.28492819857678,393264,2.2113066554269136,4166,39800,53500,68050,85370,162939,64.94542305257791
pm,Product Manager,sr_manager,Senior Manager,218000,396080,208690,187390,47.31104618227378,455513,1.895601547246754,4170,39800,53500,22067,79216,116964,58.84874958687028
finance,Financial Analyst,sr_manager,Senior Manager,195000,354450,211019,143431,40.46589579806742,342870,2.41850862658831,4563,39800,53500,32217,70890,127468,63.42609399331278
hr,HR Generalist,sr_manager,Senior Manager,150000,273000,172600,100400,36.77667818509616,233232,3.292817814850302,3793,39800,53500,12688,54600,107243,65.24054557729876
ops,Operations Analyst,sr_manager,Senior Manager,168000,305580,194187,111393,36.45281217275345,261057,3.0263796000342946,5008,39800,53500,25517,61116,121169,65.51801290746401
marketing,Marketing Manager,sr_manager,Senior Manager,165000,300150,181823,118327,39.42254146364318,279011,2.8398479355206865,4385,39800,53500,15450,60030,110518,63.82261696858023
sales,Sales Representative,sr_manager,Senior Manager,182000,330920,186835,144085,43.54081471730328,344919,2.3748715888917724,4804,39800,53500,13650,66184,109102,61.3145812328076
legal,Legal Counsel,sr_manager,Senior Manager,228000,414180,243195,170985,41.2828188566867,412957,2.0986380328606082,5011,39800,53500,50467,82836,146118,63.08693234799231
cs,Customer Support Agent,sr_manager,Senior Manager,155000,282050,174328,107722,38.19243102951604,251960,3.085820595156,4869,39800,53500,11448,56410,106957,64.42150405255292
it,IT Support Specialist,sr_manager,Senior Manager,188000,341780,201676,140104,40.99243583226052,334491,2.4578608020168846,4716,39800,53500,25700,68356,121094,63.046193283399695
strategy,Strategy Consultant,sr_manager,Senior Manager,215000,390650,219753,170897,43.746761632255534,413093,2.072187172788327,4371,39800,53500,33488,78130,128562,61.42800671056017
swe,Software Engineer,director,Director,260000,472100,245750,226350,47.94525297540246,554743,1.6364954890151793,4028,39800,53500,42300,94420,137063,58.56176893478147
ds,Data Scientist,director,Director,275000,499250,278635,220615,44.18932719391587,539546,1.7036449560821796,4166,39800,53500,68050,99850,162939,61.40160774721113
pm,Product Manager,director,Director,258000,468480,223894,244586,52.20833156564848,601795,1.5115199444173106,4170,39800,53500,22067,93696,116964,54.85250691342739
finance,Financial Analyst,director,Director,240000,435900,228123,207777,47.66617748480155,507438,1.7479327900969803,4563,39800,53500,32217,87180,127468,58.67045341639019
hr,HR Generalist,director,Director,188000,341780,187043,154737,45.27372328553821,372200,2.225434399902543,3793,39800,53500,12688,68356,107243,60.202564836827875
ops,Operations Analyst,director,Director,205000,372550,208251,164299,44.10114170916655,396368,2.133369158305134,5008,39800,53500,25517,74510,121169,61.09342523000419
marketing,Marketing Manager,director,Director,208000,377980,198168,179812,47.57195042148394,436265,1.9553483863883327,4385,39800,53500,15450,75596,110518,58.55870750560269
sales,Sales Representative,director,Director,222000,403320,202039,201281,49.906095423609045,491201,1.771968204100964,4804,39800,53500,13650,80664,109102,56.70048142299693
legal,Legal Counsel,director,Director,268000,486580,258399,228181,46.894894804682686,559240,1.6360507970288396,5011,39800,53500,50467,97316,146118,59.37494281093141
cs,Customer Support Agent,director,Director,190000,345400,187632,157768,45.6769692295165,379958,2.1872588194433855,4869,39800,53500,11448,69080,106957,59.8538789730355
it,IT Support Specialist,director,Director,232000,421420,218400,203020,48.17510967384082,495401,1.774627147932989,4716,39800,53500,25700,84284,121094,58.21831979975762
strategy,Strategy Consultant,director,Director,258000,468480,236098,232382,49.6034887970471,570346,1.590894841068664,4371,39800,53500,33488,93696,128562,57.17553708154154
swe,Software Engineer,vp,VP,322000,584320,269317,315003,53.90938857079597,781481,1.2471740803666376,4028,39800,53500,42300,116864,137063,53.437398405799804
ds,Data Scientist,vp,VP,338000,613280,302581,310699,50.66183733622896,769941,1.2830942737500621,4166,39800,53500,68050,122656,162939,56.54227781079988
pm,Product Manager,vp,VP,322000,584320,248221,336099,57.51971380728881,835847,1.1688930222978673,4170,39800,53500,22067,116864,116964,49.47679311482078
finance,Financial Analyst,vp,VP,300000,544500,250929,293571,53.91567817378328,726862,1.311097395572267,4563,39800,53500,32217,108900,127468,53.33811775605242
hr,HR Generalist,vp,VP,248000,450380,209849,240531,53.4061306997008,591624,1.5219523184865693,3793,39800,53500,12688,90076,107243,53.65987638912807
ops,Operations Analyst,vp,VP,272000,493820,233718,260102,52.67143968196913,641391,1.4408341764527566,5008,39800,53500,25517,98764,121169,54.43647702369133
marketing,Marketing Manager,vp,VP,272000,493820,222494,271326,54.944323478823264,670317,1.38123113748049,4385,39800,53500,15450,98764,110518,52.15618467392575
sales,Sales Representative,vp,VP,292000,530020,228646,301374,56.86092299583034,747195,1.2675402167743783,4804,39800,53500,13650,106004,109102,50.10237145590766
legal,Legal Counsel,vp,VP,328000,595180,281205,313975,52.752978786354554,778663,1.258175888556684,5011,39800,53500,50467,119036,146118,54.55957392213393
cs,Customer Support Agent,vp,VP,248000,450380,209678,240702,53.444302970547085,592067,1.520865273228473,4869,39800,53500,11448,90076,106957,53.560755766092015
it,IT Support Specialist,vp,VP,295000,535450,242347,293103,54.73961101643477,725796,1.307013837874457,4716,39800,53500,25700,107090,121094,52.46576345129464
strategy,Strategy Consultant,vp,VP,325000,589750,261564,328186,55.64827881583828,815369,1.200387374620201,4371,39800,53500,33488,117950,128562,51.60875145537347
swe,Software Engineer,svp,SVP,398000,721880,298204,423676,58.6906049893161,1059417,0.9922116397262887,4028,39800,53500,42300,144376,137063,48.260818478512384
ds,Data Scientist,svp,SVP,418000,758080,332989,425091,56.074677608646184,1062505,1.00594010337375,4166,39800,53500,68050,151616,162939,51.378932625131625
pm,Product Manager,svp,SVP,398000,721880,277108,444772,61.612953914604915,1113783,0.9451502924805132,4170,39800,53500,22067,144376,116964,44.31900733109577
finance,Financial Analyst,svp,SVP,368000,667580,276776,390804,58.54040978702927,975542,1.0478805977019894,4563,39800,53500,32217,133516,127468,48.35712229758562
hr,HR Generalist,svp,SVP,308000,558980,232655,326325,58.37857015372866,811047,1.1883752603042939,3793,39800,53500,12688,111796,107243,48.399879069775146
ops,Operations Analyst,svp,SVP,332000,602420,256524,345896,57.417765585056934,860815,1.1462517098624696,5008,39800,53500,25517,120484,121169,49.596856576479595
marketing,Marketing Manager,svp,SVP,338000,613280,247581,365699,59.630096889369455,911682,1.090119197766406,4385,39800,53500,15450,122656,110518,46.87135359251392
sales,Sales Representative,svp,SVP,365000,662150,256393,405757,61.27870785509325,1014160,1.0065877758713915,4804,39800,53500,13650,132430,109102,44.68020573126063
legal,Legal Counsel,svp,SVP,408000,739980,311613,428367,57.88902120876579,1071228,0.9897957188284258,5011,39800,53500,50467,147996,146118,49.23550696221592
cs,Customer Support Agent,svp,SVP,312000,566220,234004,332216,58.67260988992794,826119,1.171659219914904,4869,39800,53500,11448,113244,106957,47.99272848006412
it,IT Support Specialist,svp,SVP,370000,671200,270854,400346,59.64626745940107,1000075,1.0247142698080567,4716,39800,53500,25700,134240,121094,46.94372443563568
strategy,Strategy Consultant,svp,SVP,408000,739980,293113,446867,60.38912191091735,1118905,0.9488183226794978,4371,39800,53500,33488,147996,128562,46.0539970415024
swe,Software Engineer,evp,EVP,480000,870300,329372,540928,62.154146765124096,1359296,0.8320153205455406,4028,39800,53500,42300,174060,137063,43.69394352093127
ds,Data Scientist,evp,EVP,512000,928220,368718,559502,60.276821875808,1406269,0.8250987473412097,4166,39800,53500,68050,185644,162939,46.40023338689607
pm,Product Manager,evp,EVP,492000,892020,312838,579182,64.92928316839868,1457547,0.7845614152112224,4170,39800,53500,22067,178404,116964,39.25730603215287
finance,Financial Analyst,evp,EVP,455000,825050,309845,515205,62.44535090676323,1293706,0.855988752613785,4563,39800,53500,32217,165010,127468,43.19612545208249
hr,HR Generalist,evp,EVP,385000,698350,261923,436427,62.49399748626225,1092641,0.9524391491316604,3793,39800,53500,12688,139670,107243,42.99160171704187
ops,Operations Analyst,evp,EVP,415000,752650,288072,464578,61.725609969773465,1164351,0.9181024079153653,5008,39800,53500,25517,150530,121169,44.16524419249072
marketing,Marketing Manager,evp,EVP,422000,765320,279509,485811,63.47816053456397,1218875,0.8831910940582209,4385,39800,53500,15450,153064,110518,41.517223179288074
sales,Sales Representative,evp,EVP,460000,834100,292503,541597,64.931958285877,1361581,0.817618303967721,4804,39800,53500,13650,166820,109102,39.16442487253436
legal,Legal Counsel,evp,EVP,512000,928220,351143,577077,62.170259113208616,1451562,0.799969807635431,5011,39800,53500,50467,185644,146118,43.692756401188774
cs,Customer Support Agent,evp,EVP,392000,711020,264412,446608,62.81230509954009,1118683,0.9364004934316827,4869,39800,53500,11448,142204,106957,42.473451090717504
it,IT Support Specialist,evp,EVP,472000,855820,309624,546196,63.82131139579583,1373096,0.8186884757712899,4716,39800,53500,25700,171164,121094,41.065578932003135
strategy,Strategy Consultant,evp,EVP,518000,939080,334924,604156,64.33492613157625,1521181,0.7677084631265829,4371,39800,53500,33488,187816,128562,40.30473419438243
swe,Software Engineer,csuite,C-Suite,510000,924600,340775,583825,63.14347169553049,1469008,0.7894837729073632,4028,39800,53500,42300,184920,137063,42.23186043272665
ds,Data Scientist,csuite,C-Suite,525000,951750,373660,578090,60.739712741331765,1453811,0.8067079965722775,4166,39800,53500,68050,190350,162939,45.78663384243919
pm,Product Manager,csuite,C-Suite,525000,951750,325381,626369,65.81233430194378,1578230,0.7445293119847322,4170,39800,53500,22067,190350,116964,37.743953983676
finance,Financial Analyst,csuite,C-Suite,490000,888400,323148,565252,63.625829317452734,1421703,0.8026156585402016,4563,39800,53500,32217,177680,127468,41.41780895437029
hr,HR Generalist,csuite,C-Suite,455000,825050,288530,536520,65.02876570454063,1348635,0.8219826633658222,3793,39800,53500,12688,165010,107243,39.02710277880164
ops,Operations Analyst,csuite,C-Suite,580000,1051300,350789,700511,66.63286440002852,1767766,0.694150112373432,5008,39800,53500,25517,210260,121169,36.269067478299384
marketing,Marketing Manager,csuite,C-Suite,470000,852200,297754,554446,65.06057946528104,1394414,0.805199770752973,4385,39800,53500,15450,170440,110518,38.97326376876884
sales,Sales Representative,csuite,C-Suite,490000,888400,303906,584494,65.79181270401847,1471293,0.7761921248093941,4804,39800,53500,13650,177680,109102,37.69491581787419
legal,Legal Counsel,csuite,C-Suite,548000,993380,364827,628553,63.27419307220047,1583216,0.7551882891579513,5011,39800,53500,50467,198676,146118,42.05396734482781
cs,Customer Support Agent,csuite,C-Suite,458000,830480,289499,540981,65.14081636147168,1360049,0.8172110126796743,4869,39800,53500,11448,166096,106957,38.79289903110152
it,IT Support Specialist,csuite,C-Suite,518000,939080,327109,611971,65.167072793319,1541320,0.7579052602604888,4716,39800,53500,25700,187816,121094,38.87054576119673
strategy,Strategy Consultant,csuite,C-Suite,538000,975280,342526,632754,64.879257681528,1594323,0.7444531115035717,4371,39800,53500,33488,195056,128562,39.41021240944942
